Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;20/12/2024;16:10:00;123.710;123.915;123.680;123.895;3.264.005.819,00;131.828
WINFUT;20/12/2024;16:00:00;123.710;123.825;123.650;123.705;3.509.823.452,00;141.823
WINFUT;20/12/2024;15:50:00;123.675;123.950;123.675;123.710;5.319.023.457,00;214.775
WINFUT;20/12/2024;15:40:00;123.615;123.895;123.585;123.675;8.020.895.781,00;324.113
WINFUT;20/12/2024;15:30:00;123.480;123.665;123.325;123.615;6.946.533.007,00;281.218
WINFUT;20/12/2024;15:20:00;123.145;123.635;123.090;123.485;13.321.893.886,00;539.695
WINFUT;20/12/2024;15:10:00;123.090;123.175;122.955;123.140;5.693.069.033,00;231.309
WINFUT;20/12/2024;15:00:00;123.225;123.235;123.080;123.090;4.163.192.927,00;169.013
WINFUT;20/12/2024;14:50:00;123.170;123.310;123.110;123.225;5.899.214.809,00;239.389
WINFUT;20/12/2024;14:40:00;123.035;123.190;123.030;123.170;4.548.072.686,00;184.722
WINFUT;20/12/2024;14:30:00;122.880;123.125;122.710;123.035;6.771.938.111,00;275.472
WINFUT;20/12/2024;14:20:00;122.885;122.965;122.850;122.875;2.719.607.104,00;110.636
WINFUT;20/12/2024;14:10:00;122.990;123.025;122.820;122.880;4.304.744.722,00;175.129
WINFUT;20/12/2024;14:00:00;122.825;122.990;122.770;122.985;3.637.663.544,00;147.994
WINFUT;20/12/2024;13:50:00;122.875;122.910;122.770;122.825;3.998.202.114,00;162.739
WINFUT;20/12/2024;13:40:00;122.875;123.010;122.830;122.870;4.594.987.394,00;186.892
WINFUT;20/12/2024;13:30:00;122.840;122.915;122.815;122.870;2.518.489.728,00;102.493
WINFUT;20/12/2024;13:20:00;122.940;122.975;122.820;122.840;3.828.156.726,00;155.748
WINFUT;20/12/2024;13:10:00;122.790;122.955;122.745;122.940;3.614.220.341,00;147.122
WINFUT;20/12/2024;13:00:00;122.945;122.980;122.760;122.785;4.894.750.367,00;199.211
WINFUT;20/12/2024;12:50:00;122.945;123.010;122.820;122.945;5.609.286.361,00;228.159
WINFUT;20/12/2024;12:40:00;123.130;123.160;122.920;122.945;4.142.268.485,00;168.329
WINFUT;20/12/2024;12:30:00;122.965;123.140;122.900;123.125;5.008.106.003,00;203.512
WINFUT;20/12/2024;12:20:00;122.995;123.025;122.905;122.965;3.973.918.719,00;161.583
WINFUT;20/12/2024;12:10:00;123.020;123.095;122.940;122.995;4.551.877.696,00;185.006
WINFUT;20/12/2024;12:00:00;122.845;123.085;122.815;123.015;6.467.477.505,00;262.992
WINFUT;20/12/2024;11:50:00;122.885;122.920;122.790;122.840;4.961.152.306,00;201.900
WINFUT;20/12/2024;11:40:00;122.990;123.080;122.680;122.885;8.548.284.680,00;347.901
WINFUT;20/12/2024;11:30:00;122.925;123.165;122.770;122.985;11.248.721.051,00;457.360
WINFUT;20/12/2024;11:20:00;123.090;123.150;122.885;122.925;7.016.340.196,00;285.165
WINFUT;20/12/2024;11:10:00;122.790;123.145;122.785;123.085;10.003.978.369,00;406.672
WINFUT;20/12/2024;11:00:00;122.525;122.890;122.515;122.790;9.773.241.531,00;398.076
WINFUT;20/12/2024;10:50:00;122.495;122.590;122.370;122.530;7.562.691.305,00;308.714
WINFUT;20/12/2024;10:40:00;122.700;122.750;122.435;122.490;8.030.233.973,00;327.512
WINFUT;20/12/2024;10:30:00;122.565;122.810;122.555;122.705;9.836.148.346,00;400.851
WINFUT;20/12/2024;10:20:00;122.560;122.630;122.385;122.560;9.018.932.052,00;368.087
WINFUT;20/12/2024;10:10:00;122.650;122.720;122.510;122.565;8.520.020.254,00;347.429
WINFUT;20/12/2024;10:00:00;122.730;122.780;122.615;122.650;6.447.256.203,00;262.751
WINFUT;20/12/2024;09:50:00;122.730;122.860;122.690;122.730;4.940.686.445,00;201.226
